Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,15,12,3,0
2015-05-02,10,10,0,0
2015-05-03,32,27,5,0
2015-05-04,30,30,0,0
2015-05-05,33,33,0,0
2015-05-06,86,85,1,0
2015-05-07,34,34,0,0
2015-05-08,87,82,5,0
2015-05-09,41,40,1,0
2015-05-10,42,42,0,0
2015-05-11,33,23,10,0
2015-05-12,8,8,0,0
2015-05-13,14,9,5,0
2015-05-14,5,5,0,0
2015-05-15,30,30,0,0
2015-05-16,15,10,5,0
2015-05-17,12,12,0,0
2015-05-18,24,20,4,0
2015-05-19,3,2,1,0
2015-05-20,5,5,0,0
2015-05-21,42,37,5,0
2015-05-22,4,4,0,0
2015-05-23,5,5,0,0
2015-05-24,13,12,1,0
2015-05-25,24,24,0,0
2015-05-26,8,8,0,0
2015-05-27,23,21,2,0
2015-05-28,78,78,0,0
2015-05-29,72,67,5,0
2015-05-30,106,106,0,0
2015-05-31,93,93,0,0
2015-06-01,20,20,0,0
2015-06-02,20,15,5,0
2015-06-03,52,52,0,0
2015-06-04,115,115,0,0
2015-06-05,68,68,0,0
2015-06-06,82,82,0,0
2015-06-07,30,30,0,0
2015-06-08,58,53,5,0
2015-06-09,165,165,0,0
2015-06-10,70,65,5,0
2015-06-11,56,51,5,0
2015-06-12,17,17,0,0
2015-06-13,8,8,0,0
2015-06-14,9,9,0,0
2015-06-15,10,10,0,0
2015-06-16,4,4,0,0
2015-06-17,2,2,0,0
2015-06-18,8,8,0,0
2015-06-19,5,5,0,0
2015-06-20,13,13,0,0
2015-06-21,6,6,0,0
2015-06-22,9,7,2,0
2015-06-23,21,20,1,0
2015-06-24,30,30,0,0
2015-06-25,38,38,0,0
2015-06-26,33,33,0,0
2015-06-27,6,6,0,0
2015-06-28,79,79,0,0
2015-06-29,70,70,0,0
2015-06-30,7,7,0,0
2015-07-01,25,25,0,0
2015-07-02,39,39,0,0
2015-07-03,9,9,0,0
2015-07-04,21,21,0,0
2015-07-05,38,38,0,0
2015-07-06,42,41,1,0
2015-07-07,11,10,1,0
2015-07-08,19,19,0,0
2015-07-09,37,37,0,0
2015-07-10,28,28,0,0
2015-07-11,12,12,0,0
2015-07-12,40,40,0,0
2015-07-13,36,36,0,0
2015-07-14,13,12,1,0
2015-07-15,10,10,0,0
2015-07-16,110,80,30,0
2015-07-17,46,46,0,0
2015-07-18,19,19,0,0
2015-07-19,45,14,31,0
2015-07-20,12,12,0,0
2015-07-21,17,17,0,0
2015-07-22,28,27,1,0
2015-07-23,34,34,0,0
2015-07-24,21,21,0,0
2015-07-25,33,33,0,0
2015-07-26,33,33,0,0
2015-07-27,109,108,1,0
2015-07-28,7,7,0,0
2015-07-29,47,47,0,0
2015-07-30,93,93,0,0
2015-07-31,25,25,0,0
2015-08-01,16,12,4,0
2015-08-02,66,66,0,0
2015-08-03,40,40,0,0
2015-08-04,55,55,0,0
2015-08-05,67,62,5,0
2015-08-06,30,21,9,0
2015-08-07,33,33,0,0
2015-08-08,63,61,2,0
2015-08-09,28,24,4,0
2015-08-10,35,34,1,0
2015-08-11,33,33,0,0
2015-08-12,17,13,4,0
2015-08-13,11,11,0,0
2015-08-14,14,14,0,0
2015-08-15,318,312,6,0
2015-08-16,28,28,0,0
2015-08-17,29,29,0,0
2015-08-18,10,10,0,0
2015-08-19,2,2,0,0
