Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,13,12,1,0
2015-05-02,21,20,1,0
2015-05-03,26,25,1,0
2015-05-04,116,100,16,0
2015-05-05,24,18,6,0
2015-05-06,15,11,4,0
2015-05-07,27,23,4,0
2015-05-08,17,13,4,0
2015-05-09,46,44,2,0
2015-05-10,43,39,4,0
2015-05-11,23,20,3,0
2015-05-12,33,27,6,0
2015-05-13,23,17,6,0
2015-05-14,18,15,3,0
2015-05-15,33,24,9,0
2015-05-16,7,4,3,0
2015-05-17,14,10,4,0
2015-05-18,15,11,4,0
2015-05-19,16,14,2,0
2015-05-20,6,4,2,0
2015-05-21,58,52,6,0
2015-05-22,19,12,7,0
2015-05-23,17,15,2,0
2015-05-24,17,13,4,0
2015-05-25,52,34,18,0
2015-05-26,14,12,2,0
2015-05-27,20,14,6,0
2015-05-28,19,14,5,0
2015-05-29,60,55,5,0
2015-05-30,14,11,3,0
2015-05-31,23,12,11,0
2015-06-01,6,0,6,0
2015-06-02,25,12,13,0
2015-06-03,4,0,4,0
2015-06-04,49,2,47,0
2015-06-05,21,10,11,0
2015-06-06,15,6,9,0
2015-06-07,12,4,8,0
2015-06-08,4,0,4,0
2015-06-09,7,2,5,0
2015-06-10,22,19,3,0
2015-06-11,101,100,1,0
2015-06-12,21,19,2,0
2015-06-13,45,24,21,0
2015-06-14,11,5,6,0
2015-06-15,13,7,6,0
2015-06-16,14,7,7,0
2015-06-17,15,8,7,0
2015-06-18,13,11,2,0
2015-06-19,19,15,4,0
2015-06-20,8,7,1,0
2015-06-21,15,14,1,0
2015-06-22,17,12,5,0
2015-06-23,15,13,2,0
2015-06-24,20,17,3,0
2015-06-25,10,9,1,0
2015-06-26,12,10,2,0
2015-06-27,12,8,4,0
2015-06-28,21,14,7,0
2015-06-29,53,33,20,0
2015-06-30,17,13,4,0
2015-07-01,24,22,2,0
2015-07-02,12,7,5,0
2015-07-03,9,8,1,0
2015-07-04,8,8,0,0
2015-07-05,99,88,11,0
2015-07-06,15,13,2,0
2015-07-07,17,17,0,0
2015-07-08,11,11,0,0
2015-07-09,7,7,0,0
2015-07-10,6,6,0,0
2015-07-11,5,5,0,0
2015-07-12,6,6,0,0
2015-07-13,8,8,0,0
2015-07-14,21,19,2,0
2015-07-15,8,7,1,0
2015-07-16,4,3,1,0
2015-07-17,30,12,18,0
2015-07-18,10,9,1,0
2015-07-19,26,11,15,0
2015-07-20,39,27,12,0
2015-07-21,6,5,1,0
2015-07-22,29,26,3,0
2015-07-23,10,10,0,0
2015-07-24,7,6,1,0
2015-07-25,9,9,0,0
2015-07-26,5,5,0,0
2015-07-27,84,83,1,0
2015-07-28,11,11,0,0
2015-07-29,13,8,5,0
2015-07-30,8,5,3,0
2015-07-31,12,10,2,0
2015-08-01,13,7,6,0
2015-08-02,10,8,2,0
2015-08-03,2,1,1,0
2015-08-04,15,13,2,0
2015-08-05,4,1,3,0
2015-08-06,9,7,2,0
2015-08-07,8,6,2,0
2015-08-08,11,6,5,0
2015-08-09,6,3,3,0
2015-08-10,11,10,1,0
2015-08-11,4,3,1,0
2015-08-12,6,4,2,0
2015-08-13,3,2,1,0
2015-08-14,6,5,1,0
2015-08-15,4,4,0,0
2015-08-16,1,1,0,0
2015-08-17,1,1,0,0
2015-08-18,2,2,0,0
2015-08-19,2,1,1,0
2015-08-20,248,244,4,0
2015-08-21,1,1,0,0
2015-08-22,2,1,1,0
2015-08-23,1,1,0,0
2015-08-24,23,13,10,0
2015-08-25,0,0,0,0
2015-08-26,1,1,0,0
2015-08-27,1,1,0,0
2015-08-28,1,1,0,0
2015-08-29,2,2,0,0
2015-08-30,6,6,0,0
2015-08-31,0,0,0,0
2015-09-01,14,14,0,0
2015-09-02,2,2,0,0
2015-09-03,2,2,0,0
2015-09-04,0,0,0,0
2015-09-05,12,10,2,0
2015-09-06,15,9,6,0
2015-09-07,13,7,6,0
2015-09-08,11,9,2,0
2015-09-09,12,11,1,0
2015-09-10,16,10,6,0
2015-09-11,12,10,2,0
2015-09-12,6,5,1,0
2015-09-13,4,1,3,0
2015-09-14,6,5,1,0
2015-09-15,9,6,3,0
2015-09-16,11,8,3,0
2015-09-17,13,11,2,0
2015-09-18,48,32,16,0
2015-09-19,7,5,2,0
2015-09-20,10,7,3,0
2015-09-21,10,1,9,0
2015-09-22,7,5,2,0
2015-09-23,11,8,3,0
2015-09-24,7,7,0,0
2015-09-25,10,6,4,0
2015-09-26,14,11,3,0
2015-09-27,27,10,17,0
2015-09-28,20,18,2,0
2015-09-29,24,24,0,0
2015-09-30,7,6,1,0
2015-10-01,5,4,1,0
2015-10-02,6,6,0,0
2015-10-03,7,6,1,0
2015-10-04,179,178,1,0
2015-10-05,6,6,0,0
2015-10-06,1,1,0,0
2015-10-07,0,0,0,0
2015-10-08,6,4,2,0
2015-10-09,3,1,2,0
2015-10-10,0,0,0,0
2015-10-11,1,1,0,0
2015-10-12,5,3,2,0
2015-10-13,24,23,1,0
2015-10-14,3,3,0,0
2015-10-15,2,2,0,0
2015-10-16,4,3,1,0
